# frequency [Hz], storage [Mpa], loss [MPa], temperature [Celcius]
3.981069999999999709e+01,1.513406795224977452e+00,6.827897153351699666e-01,4.000000000000000000e+01
5.011869999999999692e+01,1.923204775022957058e+00,7.602901744719927635e-01,4.000000000000000000e+01
6.309570000000000078e+01,1.962121212121212377e+00,7.559311294765840294e-01,4.000000000000000000e+01
7.943280000000000030e+01,1.988549127640037106e+00,7.948806244260789855e-01,4.000000000000000000e+01
9.999990000000000268e-02,7.231037649219468344e-01,5.928154269972452095e-02,5.000000000000000000e+01
1.258900000000000019e-01,7.314178145087236738e-01,6.204077134986226566e-02,5.000000000000000000e+01
1.584800000000000098e-01,7.408438934802572540e-01,6.483581267217630728e-02,5.000000000000000000e+01
1.995200000000000029e-01,7.504655647382921790e-01,6.746170798898072640e-02,5.000000000000000000e+01
2.511800000000000144e-01,7.605509641873280380e-01,7.014490358126722336e-02,5.000000000000000000e+01
3.162200000000000011e-01,7.707511478420570050e-01,7.328778696051424513e-02,5.000000000000000000e+01
3.980989999999999807e-01,7.811285583103765306e-01,7.651505968778696265e-02,5.000000000000000000e+01
5.011790000000000411e-01,7.919513314967860929e-01,8.023654729109275241e-02,5.000000000000000000e+01
6.309489999999999821e-01,8.032708907254362263e-01,8.428044077134987100e-02,5.000000000000000000e+01
7.943189999999999973e-01,8.151331496786042852e-01,8.871441689623509042e-02,5.000000000000000000e+01
9.999989999999999712e-01,8.276124885215795368e-01,9.350229568411388970e-02,5.000000000000000000e+01
1.258920000000000039e+00,8.407245179063361773e-01,9.868962350780532966e-02,5.000000000000000000e+01
1.584889999999999910e+00,8.545032139577595220e-01,1.043452708907254417e-01,5.000000000000000000e+01
1.995260000000000034e+00,8.690156106519744128e-01,1.105032139577594164e-01,5.000000000000000000e+01
2.511890000000000178e+00,8.843287419651058023e-01,1.172460973370064302e-01,5.000000000000000000e+01
3.162279999999999980e+00,9.005831037649220105e-01,1.246391184573003019e-01,5.000000000000000000e+01
3.981059999999999821e+00,9.183654729109275161e-01,1.328769513314967954e-01,5.000000000000000000e+01
